col1,col2
po00018100.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/4f910109ea8e8a0b700043b3
po00000800.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cebb1a55724270000000
po00001200.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cec01a55724270000001
po00001300.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cec51a55724270000002
po00002200.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cecb1a55724270000003
po00002300.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141ced11a55724270000004
po00002400.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141ced71a55724270000005
po00002500.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cedc1a55724270000006
po00002600.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cee21a55724270000007
po00002900.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141ceec1a55724270000008
po00003000.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cef61a55724270000009
po00003300.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf011a5572427000000a
po00003400.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf0b1a5572427000000b
po00003800.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf151a5572427000000c
po00003900.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf1f1a5572427000000d
po00004900.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf2a1a5572427000000e
po00005000.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf351a5572427000000f
po00005100.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf3e1a55724270000010
po00005200.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf491a55724270000011
po00005300.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf531a55724270000012
po00005700.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf5c1a55724270000013
po00006900.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf661a55724270000014
po00007300.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf6f1a55724270000015
po00007400.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf791a55724270000016
po00007600.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf831a55724270000017
po00007800.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf8a1a55724270000018
po00008600.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf941a55724270000019
po00008900.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cf9e1a5572427000001a
po00009000.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cfa51a5572427000001b
po00009100.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cfaf1a5572427000001c
po00009400.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cfb81a5572427000001d
po00009500.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cfc11a5572427000001e
po00009900.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cfca1a5572427000001f
po00010600.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cfd41a55724270000020
po00010700.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cfdf1a55724270000021
po00010800.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cfe91a55724270000022
po00011300.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cff31a55724270000023
po00011600.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141cffb1a55724270000024
po00012200.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141d0031a55724270000025
po00012400.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141d00c1a55724270000026
po00017000.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141d0111a55724270000027
po00017200.jpg,http://archives.c.fun.ac.jp/fronts/detail/poster/5141d0171a55724270000028
