col1,col2
po00018100.jpg,丹頂　千歳鶴
po00000800.jpg,港まつり
po00001200.jpg,函館日日新聞社
po00001300.jpg,婦女界
po00002200.jpg,長編講談
po00002300.jpg,岩波講座　日本文学
po00002400.jpg,婦人世界
po00002500.jpg,少女の友
po00002600.jpg,日本少年
po00002900.jpg,さっぽろ
po00003000.jpg,岩橋英遠展
po00003300.jpg,松前
po00003400.jpg,松前
po00003800.jpg,恐山（国鉄周遊指定地）と薬研温泉
po00003900.jpg,松前
po00004900.jpg,松前
po00005000.jpg,松前
po00005100.jpg,松前
po00005200.jpg,松前
po00005300.jpg,オリンピック東京大会
po00005700.jpg,京都へ
po00006900.jpg,北海道立美術館　1971
po00007300.jpg,北海道立近代美術館
po00007400.jpg,北海道立三岸好太郎美術館
po00007600.jpg,フランス美術《栄光の300年》
po00007800.jpg,第9回国民体育大会
po00008600.jpg,たくぎんの1969年カレンダー
po00008900.jpg,第9回　国体ラグビー
po00009000.jpg,スキーと冬山の写真展
po00009100.jpg,第9回　国体卓球
po00009400.jpg,国体宝くじ
po00009500.jpg,暮らしの中に光を…貯蓄
po00009900.jpg,第17回函館山市民ハイキング大会
po00010600.jpg,謹告
po00010700.jpg,港まつり
po00010800.jpg,港まつり
po00011300.jpg,ペリー来航100年記念　港まつり
po00011600.jpg,中村善策展
po00012200.jpg,国画会　渋谷円吉油絵個展
po00012400.jpg,EXPO’70 日本万国博
po00017000.jpg,国策のグラフ　写真週報　国策のパンフレット　週報
po00017200.jpg,校註　日本文学大系校註　国歌大系近代　日本文学大系
po00017400.jpg,国策のグラフ　写真週報
po00017700.jpg,講談倶楽部新年号
po00017800.jpg,訳註　初等　英文世界名著全集　全十五巻
po00018800.jpg,民間放送20周年記念　民放のイメージを標語に
po00019200.jpg,みんなが貯蓄　住みよい社会
po00019300.jpg,お宅にも郵便受けを
po00019400.jpg,第2回市民劇場準特別公演
po00020300.jpg,世界の巨匠　葛飾北斎展
po00020400.jpg,貯蓄増強10月特別運動　明るい家庭　希望の夢は貯蓄から
po00021000.jpg,国民年金に加入しよう
po00021500.jpg,文芸春秋　文化講演会
po00021600.jpg,お子さまの夢を育てましょう
po00021800.jpg,第6回　北海道秀作美術展
po00021900.jpg,函館信用金庫　CALENDAR 1970
po00022100.jpg,’73　白楊祭
po00022700.jpg,第11回北海道人形劇フェスティバル
po00023400.jpg,うれしい便り大切な手紙みんな郵便受けで
po00023500.jpg,利子の引きあげ
po00023700.jpg,第9回海洋少年団北海道大会
po00024000.jpg,アポロのようにスピーディで確実な郵便のおとどけ郵便番号がそれをお約束します
po00024700.jpg,夏のレジャーは忍路へ
po00025600.jpg,宿泊施設ご案内
po00025800.jpg,さくらと史蹟の名所　松前
po00026200.jpg,きれいな海のきれいな魚
po00026500.jpg,近代詩歌展《その三》　明治・大正の詩人たち
po00027500.jpg,まりもを故郷え　代りに素晴らしい人造まりもが生れました
po00027600.jpg,マリモを大切に…
po00027700.jpg,The Tokyo Nichi=Nichi
po00028200.jpg,日清汽船株式会社
po00028400.jpg,足利本銘仙
po00028800.jpg,婦人公論　9月号
po00029500.jpg,ヴエス軍作画展
po00029600.jpg,ヘレンケラー女史大衆講演会
po00029700.jpg,天間正五朗　前田政雄　版画展
po00029800.jpg,岡田紅陽作品　四季の富士写真展覧会
po00029900.jpg,前田政雄個人版画展覧会
po00030000.jpg,第三回　彩人社洋画展
po00030600.jpg,第三回　函館市内中等学校　雄弁大会
po00030700.jpg,知学　田中巴之助先生特別大講演会
po00030800.jpg,日本聖公会組織四十年記念　基督教講演会
po00031000.jpg,医学智識普及後援会
po00032300.jpg,コドモの会
po00032400.jpg,塗料智識普及宣博
po00033100.jpg,五稜郭懐旧館は
po00033200.jpg,COMMERCIAL SHOW ROOM
po00033300.jpg,函館青森間貨車航送記念共進会
po00033400.jpg,福引
po00033500.jpg,北海道畜産産馬共進会
po00033700.jpg,岩手県物産共進会
po00033800.jpg,第十五回　全国特産品博覧会
po00034000.jpg,第十回全国特産品　博覧会開設
po00034100.jpg,教育博覧会
po00034200.jpg,御聖徳景仰　明治大帝御一代展覧会
po00034300.jpg,大名古屋土地博覧会
po00034400.jpg,国産振興　北海道拓殖博覧会
po00034700.jpg,函館商品陳列館
po00035000.jpg,奥羽六県連合馬匹共進会
po00035100.jpg,全国優良土産品及包装紙展覧会
po00035200.jpg,メートルとサイズ展覧会
po00035300.jpg,国防と産業大博覧会
po00035600.jpg,満蒙資源館
