col1,col2
丹頂　千歳鶴__0,po00018100.jpg
港まつり__1,po00000800.jpg
函館日日新聞社__2,po00001200.jpg
婦女界__3,po00001300.jpg
長編講談__4,po00002200.jpg
岩波講座　日本文学__5,po00002300.jpg
婦人世界__6,po00002400.jpg
少女の友__7,po00002500.jpg
日本少年__8,po00002600.jpg
さっぽろ__9,po00002900.jpg
岩橋英遠展__10,po00003000.jpg
松前__11,po00003300.jpg
松前__12,po00003400.jpg
恐山（国鉄周遊指定地）と薬研温泉__13,po00003800.jpg
松前__14,po00003900.jpg
松前__15,po00004900.jpg
松前__16,po00005000.jpg
松前__17,po00005100.jpg
松前__18,po00005200.jpg
オリンピック東京大会__19,po00005300.jpg
京都へ__20,po00005700.jpg
北海道立美術館　1971__21,po00006900.jpg
北海道立近代美術館__22,po00007300.jpg
北海道立三岸好太郎美術館__23,po00007400.jpg
フランス美術《栄光の300年》__24,po00007600.jpg
第9回国民体育大会__25,po00007800.jpg
たくぎんの1969年カレンダー__26,po00008600.jpg
第9回　国体ラグビー__27,po00008900.jpg
スキーと冬山の写真展__28,po00009000.jpg
第9回　国体卓球__29,po00009100.jpg
国体宝くじ__30,po00009400.jpg
暮らしの中に光を…貯蓄__31,po00009500.jpg
第17回函館山市民ハイキング大会__32,po00009900.jpg
謹告__33,po00010600.jpg
港まつり__34,po00010700.jpg
港まつり__35,po00010800.jpg
ペリー来航100年記念　港まつり__36,po00011300.jpg
中村善策展__37,po00011600.jpg
国画会　渋谷円吉油絵個展__38,po00012200.jpg
EXPO’70 日本万国博__39,po00012400.jpg
国策のグラフ　写真週報　国策のパンフレット　週報__40,po00017000.jpg
校註　日本文学大系校註　国歌大系近代　日本文学大系__41,po00017200.jpg
国策のグラフ　写真週報__42,po00017400.jpg
講談倶楽部新年号__43,po00017700.jpg
訳註　初等　英文世界名著全集　全十五巻__44,po00017800.jpg
民間放送20周年記念　民放のイメージを標語に__45,po00018800.jpg
みんなが貯蓄　住みよい社会__46,po00019200.jpg
お宅にも郵便受けを__47,po00019300.jpg
第2回市民劇場準特別公演__48,po00019400.jpg
世界の巨匠　葛飾北斎展__49,po00020300.jpg
貯蓄増強10月特別運動　明るい家庭　希望の夢は貯蓄から__50,po00020400.jpg
国民年金に加入しよう__51,po00021000.jpg
文芸春秋　文化講演会__52,po00021500.jpg
お子さまの夢を育てましょう__53,po00021600.jpg
第6回　北海道秀作美術展__54,po00021800.jpg
函館信用金庫　CALENDAR 1970__55,po00021900.jpg
’73　白楊祭__56,po00022100.jpg
第11回北海道人形劇フェスティバル__57,po00022700.jpg
うれしい便り大切な手紙みんな郵便受けで__58,po00023400.jpg
利子の引きあげ__59,po00023500.jpg
第9回海洋少年団北海道大会__60,po00023700.jpg
アポロのようにスピーディで確実な郵便のおとどけ郵便番号がそれをお約束します__61,po00024000.jpg
夏のレジャーは忍路へ__62,po00024700.jpg
宿泊施設ご案内__63,po00025600.jpg
さくらと史蹟の名所　松前__64,po00025800.jpg
きれいな海のきれいな魚__65,po00026200.jpg
近代詩歌展《その三》　明治・大正の詩人たち__66,po00026500.jpg
まりもを故郷え　代りに素晴らしい人造まりもが生れました__67,po00027500.jpg
マリモを大切に…__68,po00027600.jpg
The Tokyo Nichi=Nichi__69,po00027700.jpg
日清汽船株式会社__70,po00028200.jpg
足利本銘仙__71,po00028400.jpg
婦人公論　9月号__72,po00028800.jpg
ヴエス軍作画展__73,po00029500.jpg
ヘレンケラー女史大衆講演会__74,po00029600.jpg
天間正五朗　前田政雄　版画展__75,po00029700.jpg
岡田紅陽作品　四季の富士写真展覧会__76,po00029800.jpg
前田政雄個人版画展覧会__77,po00029900.jpg
第三回　彩人社洋画展__78,po00030000.jpg
第三回　函館市内中等学校　雄弁大会__79,po00030600.jpg
知学　田中巴之助先生特別大講演会__80,po00030700.jpg
日本聖公会組織四十年記念　基督教講演会__81,po00030800.jpg
医学智識普及後援会__82,po00031000.jpg
コドモの会__83,po00032300.jpg
塗料智識普及宣博__84,po00032400.jpg
五稜郭懐旧館は__85,po00033100.jpg
COMMERCIAL SHOW ROOM__86,po00033200.jpg
函館青森間貨車航送記念共進会__87,po00033300.jpg
福引__88,po00033400.jpg
北海道畜産産馬共進会__89,po00033500.jpg
岩手県物産共進会__90,po00033700.jpg
第十五回　全国特産品博覧会__91,po00033800.jpg
第十回全国特産品　博覧会開設__92,po00034000.jpg
教育博覧会__93,po00034100.jpg
御聖徳景仰　明治大帝御一代展覧会__94,po00034200.jpg
大名古屋土地博覧会__95,po00034300.jpg
